m,Geographic area,Indicator,Sex,Series Name,Series Year,TIME_PERIOD,Unit of measure,STD_ERR,INTERVAL
203923,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1969-06,Deaths per 1000 children aged 1,,1
203924,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1970-06,Deaths per 1000 children aged 1,,1
203925,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1971-06,Deaths per 1000 children aged 1,,1
203926,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1972-06,Deaths per 1000 children aged 1,,1
203927,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1973-06,Deaths per 1000 children aged 1,,1
203928,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1974-06,Deaths per 1000 children aged 1,,1
203929,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1975-06,Deaths per 1000 children aged 1,,1
203930,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1976-06,Deaths per 1000 children aged 1,,1
203931,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1977-06,Deaths per 1000 children aged 1,,1
203932,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1978-06,Deaths per 1000 children aged 1,,1
203933,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1979-06,Deaths per 1000 children aged 1,,1
203934,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1980-06,Deaths per 1000 children aged 1,,1
203935,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1981-06,Deaths per 1000 children aged 1,,1
203936,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1982-06,Deaths per 1000 children aged 1,,1
203937,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1983-06,Deaths per 1000 children aged 1,,1
203938,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1984-06,Deaths per 1000 children aged 1,,1
203939,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1985-06,Deaths per 1000 children aged 1,,1
203940,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1986-06,Deaths per 1000 children aged 1,,1
203941,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1987-06,Deaths per 1000 children aged 1,,1
203942,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1988-06,Deaths per 1000 children aged 1,,1
203943,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1989-06,Deaths per 1000 children aged 1,,1
203944,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1990-06,Deaths per 1000 children aged 1,,1
203945,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1991-06,Deaths per 1000 children aged 1,,1
203946,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1992-06,Deaths per 1000 children aged 1,,1
203947,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1993-06,Deaths per 1000 children aged 1,,1
203948,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1994-06,Deaths per 1000 children aged 1,,1
203949,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1995-06,Deaths per 1000 children aged 1,,1
203950,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1996-06,Deaths per 1000 children aged 1,,1
203951,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1997-06,Deaths per 1000 children aged 1,,1
203952,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1998-06,Deaths per 1000 children aged 1,,1
203953,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,1999-06,Deaths per 1000 children aged 1,,1
203954,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2000-06,Deaths per 1000 children aged 1,,1
203955,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2001-06,Deaths per 1000 children aged 1,,1
203956,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2002-06,Deaths per 1000 children aged 1,,1
203957,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2003-06,Deaths per 1000 children aged 1,,1
203958,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2004-06,Deaths per 1000 children aged 1,,1
203959,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2005-06,Deaths per 1000 children aged 1,,1
203960,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2006-06,Deaths per 1000 children aged 1,,1
203961,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2007-06,Deaths per 1000 children aged 1,,1
203962,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2008-06,Deaths per 1000 children aged 1,,1
203963,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2009-06,Deaths per 1000 children aged 1,,1
203964,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2010-06,Deaths per 1000 children aged 1,,1
203965,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2011-06,Deaths per 1000 children aged 1,,1
203966,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2012-06,Deaths per 1000 children aged 1,,1
203967,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2013-06,Deaths per 1000 children aged 1,,1
203968,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2014-06,Deaths per 1000 children aged 1,,1
203969,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2015-06,Deaths per 1000 children aged 1,,1
203970,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2016-06,Deaths per 1000 children aged 1,,1
203971,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2017-06,Deaths per 1000 children aged 1,,1
203972,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2018-06,Deaths per 1000 children aged 1,,1
203973,Kenya,Child Mortality rate age 1-4,Female,UN IGME estimate,2020,2019-06,Deaths per 1000 children aged 1,,1
203974,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1952-06,Deaths per 1000 children aged 1,,1
203975,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1953-06,Deaths per 1000 children aged 1,,1
203976,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1954-06,Deaths per 1000 children aged 1,,1
203977,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1955-06,Deaths per 1000 children aged 1,,1
203978,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1956-06,Deaths per 1000 children aged 1,,1
203979,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1957-06,Deaths per 1000 children aged 1,,1
203980,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1958-06,Deaths per 1000 children aged 1,,1
203981,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1959-06,Deaths per 1000 children aged 1,,1
203982,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1960-06,Deaths per 1000 children aged 1,,1
203983,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1961-06,Deaths per 1000 children aged 1,,1
203984,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1962-06,Deaths per 1000 children aged 1,,1
203985,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1963-06,Deaths per 1000 children aged 1,,1
203986,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1964-06,Deaths per 1000 children aged 1,,1
203987,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1965-06,Deaths per 1000 children aged 1,,1
203988,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1966-06,Deaths per 1000 children aged 1,,1
203989,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1967-06,Deaths per 1000 children aged 1,,1
203990,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1968-06,Deaths per 1000 children aged 1,,1
203991,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1969-06,Deaths per 1000 children aged 1,,1
203992,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1970-06,Deaths per 1000 children aged 1,,1
203993,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1971-06,Deaths per 1000 children aged 1,,1
203994,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1972-06,Deaths per 1000 children aged 1,,1
203995,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1973-06,Deaths per 1000 children aged 1,,1
203996,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1974-06,Deaths per 1000 children aged 1,,1
203997,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1975-06,Deaths per 1000 children aged 1,,1
203998,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1976-06,Deaths per 1000 children aged 1,,1
203999,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1977-06,Deaths per 1000 children aged 1,,1
204000,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1978-06,Deaths per 1000 children aged 1,,1
204001,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1979-06,Deaths per 1000 children aged 1,,1
204002,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1980-06,Deaths per 1000 children aged 1,,1
204003,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1981-06,Deaths per 1000 children aged 1,,1
204004,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1982-06,Deaths per 1000 children aged 1,,1
204005,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1983-06,Deaths per 1000 children aged 1,,1
204006,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1984-06,Deaths per 1000 children aged 1,,1
204007,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1985-06,Deaths per 1000 children aged 1,,1
204008,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1986-06,Deaths per 1000 children aged 1,,1
204009,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1987-06,Deaths per 1000 children aged 1,,1
204010,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1988-06,Deaths per 1000 children aged 1,,1
204011,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1989-06,Deaths per 1000 children aged 1,,1
204012,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1990-06,Deaths per 1000 children aged 1,,1
204013,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1991-06,Deaths per 1000 children aged 1,,1
204014,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1992-06,Deaths per 1000 children aged 1,,1
204015,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1993-06,Deaths per 1000 children aged 1,,1
204016,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1994-06,Deaths per 1000 children aged 1,,1
204017,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1995-06,Deaths per 1000 children aged 1,,1
204018,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1996-06,Deaths per 1000 children aged 1,,1
204019,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1997-06,Deaths per 1000 children aged 1,,1
204020,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1998-06,Deaths per 1000 children aged 1,,1
204021,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,1999-06,Deaths per 1000 children aged 1,,1
204022,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2000-06,Deaths per 1000 children aged 1,,1
204023,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2001-06,Deaths per 1000 children aged 1,,1
204024,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2002-06,Deaths per 1000 children aged 1,,1
204025,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2003-06,Deaths per 1000 children aged 1,,1
204026,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2004-06,Deaths per 1000 children aged 1,,1
204027,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2005-06,Deaths per 1000 children aged 1,,1
204028,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2006-06,Deaths per 1000 children aged 1,,1
204029,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2007-06,Deaths per 1000 children aged 1,,1
204030,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2008-06,Deaths per 1000 children aged 1,,1
204031,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2009-06,Deaths per 1000 children aged 1,,1
204032,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2010-06,Deaths per 1000 children aged 1,,1
204033,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2011-06,Deaths per 1000 children aged 1,,1
204034,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2012-06,Deaths per 1000 children aged 1,,1
204035,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2013-06,Deaths per 1000 children aged 1,,1
204036,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2014-06,Deaths per 1000 children aged 1,,1
204037,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2015-06,Deaths per 1000 children aged 1,,1
204038,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2016-06,Deaths per 1000 children aged 1,,1
204039,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2017-06,Deaths per 1000 children aged 1,,1
204040,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2018-06,Deaths per 1000 children aged 1,,1
204041,Kenya,Child Mortality rate age 1-4,Male,UN IGME estimate,2020,2019-06,Deaths per 1000 children aged 1,,1
204042,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1952-06,Deaths per 1000 children aged 1,,1
204043,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1953-06,Deaths per 1000 children aged 1,,1
204044,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1954-06,Deaths per 1000 children aged 1,,1
204045,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1955-06,Deaths per 1000 children aged 1,,1
204046,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1956-06,Deaths per 1000 children aged 1,,1
204047,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1957-06,Deaths per 1000 children aged 1,,1
204048,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1958-06,Deaths per 1000 children aged 1,,1
204049,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1959-06,Deaths per 1000 children aged 1,,1
204050,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1960-06,Deaths per 1000 children aged 1,,1
204051,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1961-06,Deaths per 1000 children aged 1,,1
204052,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1962-06,Deaths per 1000 children aged 1,,1
204053,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1963-06,Deaths per 1000 children aged 1,,1
204054,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1964-06,Deaths per 1000 children aged 1,,1
204055,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1965-06,Deaths per 1000 children aged 1,,1
204056,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1966-06,Deaths per 1000 children aged 1,,1
204057,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1967-06,Deaths per 1000 children aged 1,,1
204058,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1968-06,Deaths per 1000 children aged 1,,1
204059,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1969-06,Deaths per 1000 children aged 1,,1
204060,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1970-06,Deaths per 1000 children aged 1,,1
204061,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1971-06,Deaths per 1000 children aged 1,,1
204062,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1972-06,Deaths per 1000 children aged 1,,1
204063,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1973-06,Deaths per 1000 children aged 1,,1
204064,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1974-06,Deaths per 1000 children aged 1,,1
204065,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1975-06,Deaths per 1000 children aged 1,,1
204066,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1976-06,Deaths per 1000 children aged 1,,1
204067,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1977-06,Deaths per 1000 children aged 1,,1
204068,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1978-06,Deaths per 1000 children aged 1,,1
204069,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1979-06,Deaths per 1000 children aged 1,,1
204070,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1980-06,Deaths per 1000 children aged 1,,1
204071,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1981-06,Deaths per 1000 children aged 1,,1
204072,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1982-06,Deaths per 1000 children aged 1,,1
204073,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1983-06,Deaths per 1000 children aged 1,,1
204074,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1984-06,Deaths per 1000 children aged 1,,1
204075,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1985-06,Deaths per 1000 children aged 1,,1
204076,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1986-06,Deaths per 1000 children aged 1,,1
204077,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1987-06,Deaths per 1000 children aged 1,,1
204078,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1988-06,Deaths per 1000 children aged 1,,1
204079,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1989-06,Deaths per 1000 children aged 1,,1
204080,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1990-06,Deaths per 1000 children aged 1,,1
204081,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1991-06,Deaths per 1000 children aged 1,,1
204082,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1992-06,Deaths per 1000 children aged 1,,1
204083,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1993-06,Deaths per 1000 children aged 1,,1
204084,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1994-06,Deaths per 1000 children aged 1,,1
204085,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1995-06,Deaths per 1000 children aged 1,,1
204086,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1996-06,Deaths per 1000 children aged 1,,1
204087,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1997-06,Deaths per 1000 children aged 1,,1
204088,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1998-06,Deaths per 1000 children aged 1,,1
204089,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,1999-06,Deaths per 1000 children aged 1,,1
204090,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2000-06,Deaths per 1000 children aged 1,,1
204091,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2001-06,Deaths per 1000 children aged 1,,1
204092,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2002-06,Deaths per 1000 children aged 1,,1
204093,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2003-06,Deaths per 1000 children aged 1,,1
204094,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2004-06,Deaths per 1000 children aged 1,,1
204095,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2005-06,Deaths per 1000 children aged 1,,1
204096,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2006-06,Deaths per 1000 children aged 1,,1
204097,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2007-06,Deaths per 1000 children aged 1,,1
204098,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2008-06,Deaths per 1000 children aged 1,,1
204099,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2009-06,Deaths per 1000 children aged 1,,1
204100,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2010-06,Deaths per 1000 children aged 1,,1
204101,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2011-06,Deaths per 1000 children aged 1,,1
204102,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2012-06,Deaths per 1000 children aged 1,,1
204103,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2013-06,Deaths per 1000 children aged 1,,1
204104,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2014-06,Deaths per 1000 children aged 1,,1
204105,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2015-06,Deaths per 1000 children aged 1,,1
204106,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2016-06,Deaths per 1000 children aged 1,,1
204107,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2017-06,Deaths per 1000 children aged 1,,1
204108,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2018-06,Deaths per 1000 children aged 1,,1
204109,Kenya,Child Mortality rate age 1-4,Total,UN IGME estimate,2020,2019-06,Deaths per 1000 children aged 1,,1
204110,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1990-06,Deaths per 1000 children aged 20,,1
204111,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1991-06,Deaths per 1000 children aged 20,,1
204112,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1992-06,Deaths per 1000 children aged 20,,1
204113,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1993-06,Deaths per 1000 children aged 20,,1
204114,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1994-06,Deaths per 1000 children aged 20,,1
204115,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1995-06,Deaths per 1000 children aged 20,,1
204116,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1996-06,Deaths per 1000 children aged 20,,1
204117,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1997-06,Deaths per 1000 children aged 20,,1
204118,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1998-06,Deaths per 1000 children aged 20,,1
204119,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,1999-06,Deaths per 1000 children aged 20,,1
204120,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2000-06,Deaths per 1000 children aged 20,,1
204121,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2001-06,Deaths per 1000 children aged 20,,1
204122,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2002-06,Deaths per 1000 children aged 20,,1
204123,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2003-06,Deaths per 1000 children aged 20,,1
204124,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2004-06,Deaths per 1000 children aged 20,,1
204125,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2005-06,Deaths per 1000 children aged 20,,1
204126,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2006-06,Deaths per 1000 children aged 20,,1
204127,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2007-06,Deaths per 1000 children aged 20,,1
204128,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2008-06,Deaths per 1000 children aged 20,,1
204129,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2009-06,Deaths per 1000 children aged 20,,1
204130,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2010-06,Deaths per 1000 children aged 20,,1
204131,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2011-06,Deaths per 1000 children aged 20,,1
204132,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2012-06,Deaths per 1000 children aged 20,,1
204133,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2013-06,Deaths per 1000 children aged 20,,1
204134,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2014-06,Deaths per 1000 children aged 20,,1
204135,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2015-06,Deaths per 1000 children aged 20,,1
204136,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2016-06,Deaths per 1000 children aged 20,,1
204137,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2017-06,Deaths per 1000 children aged 20,,1
204138,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2018-06,Deaths per 1000 children aged 20,,1
204139,Kenya,Mortality rate age 20-24,Total,UN IGME estimate,2020,2019-06,Deaths per 1000 children aged 20,,1
204140,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2003-04,Deaths per 1000 children aged 5,2.440510819,2
204141,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2005-04,Deaths per 1000 children aged 5,2.524545851,2
204142,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2007-04,Deaths per 1000 children aged 5,2.06975878,2
204143,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2009-04,Deaths per 1000 children aged 5,1.658787886,2
204144,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2011-04,Deaths per 1000 children aged 5,1.397955763,2
204145,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2014 (Direct),2014,2013-04,Deaths per 1000 children aged 5,1.97725348,2
204146,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2003 (Direct),2003,1992-09,Deaths per 1000 children aged 5,4.051856275,3
204147,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2003 (Direct),2003,1995-09,Deaths per 1000 children aged 5,3.266447829,3
204148,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2003 (Direct),2003,1998-09,Deaths per 1000 children aged 5,2.769061432,3
204149,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 2003 (Direct),2003,2001-09,Deaths per 1000 children aged 5,3.359896697,3
204150,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 1998 (Direct),1998,1987-08,Deaths per 1000 children aged 5,3.210946455,3
204151,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 1998 (Direct),1998,1990-08,Deaths per 1000 children aged 5,2.638822693,3
204152,Kenya,Mortality rate age 5-14,Total,Demographic and Health Survey 1998 (Direct),1998,1993-08,Deaths per 1000 children aged 5,3.253932899,3
